Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Sides,,,,
QKVDMHYAY94T6,Roasted Poblano Burger,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Sides,,,,
CG2W4Y4S4CME2,Impossible Burger,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
AWM3W995DA5VT,Black and Blu Burger,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
GCBGVGMPQM7HC,Kids Burger with Fries,,8.49,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Add Cheese Mod,,,,
6NKKW26XK0FRG,Kids Tenders and Fries,,8.49,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
38VRXTTWJBK04,Kids Cheese Nachos,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
J5TW4X2WS6WRE,Kids Grill Cheese and Fries,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
B6WJT62WGJFA6,Kids Cheese Quesadilla,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
0B5DGCG2ZNAV8,Kids Corn Dog and Fries,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
VMCWJCYYE9254,Kids Spaghetti w/ Butter & Parmesan,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
A2TWK67JMRPXW,Kids PB&J and Fires,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
6B8FKY7CG1TJE,Kids Mac & Cheese Bites with Fries,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
AHFVSZV8AERQ4,Kids Pancake & Sausage,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
Q9QAG5J76B7R8,Kids Bacon and Scrambled Egg,,7.49,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Bread,,,,
QWH177VVBG458,Kids Fruit and Veggies,,4.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
H6E8SX5TNAKSA,Kids Drink,,3.49,Fixed,,Pleasant Hill Tax Rate,0.00,,,Kids Drinks Mods,,Liquor,No,No
K8P0DCWXWDW2M,Shrimp Tacos,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
FF8YJ9BRVPV6R,Chorizo Tacos,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
RX4MGBS5J63CR,Blackened Tilapia,,16.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
2P0MEPM5M3Y4E,Chicken Jambalaya,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
34MAFS5W0K3EW,Sausage Sampler,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
A3W4JRWKR5PF0,Meatloaf Dinner,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
W7WCNTR1H0Q2R,Spaghetti and Meatballs,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
TDV81QNJNAGW6,Swiss Mushroom Steak,,15.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
QWV1QHAA0G202,Honey Garlic Salmon,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
CECGPJ6C2P0HA,Wrapped Grill Tri Tip,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
FF2D6SQTA07D6,Fried Chicken,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
VEXRQAEHYX328,Parmesan Chicken,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
QG155CH48752R,Chicken Pasta Primavera,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sauce,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Entree Mods,,,,
BR4ZMGR69VD6P,Veggies Spaghetti ,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
KX07469CY8EK8,Pot Roast,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
8SG0STQAK2ERW,Cream Pesto Pasta with Shrimp,,15.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
G373M85HWYKDY,Shrimp Skewers,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Entree Mods,,,,
814RKMSS8YRPM,Filet,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Streak Night Mods,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
2X0258SK8R1Y4,New York,,17.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Streak Night Mods,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
0ZN47FJ7PX0E2,1/2 Rack Ribs,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sides Mods,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
S2T4K1EC5QAH0,Cheese Pizza,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
NKEQJS7E1WBDY,Pepperoni Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
EFS124EQV6YJY,Margarita Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
574GRTWXZ9638,Magoo’s Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
HJD25K0NQABET,BBQ Chicken Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
RD3S4V0DCHBPT,Combination Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
ZE7HFMZHMY8HJ,Veggie Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
